LineId,Timestamp,Content,OriginalContent,EventId,RegexTemplate,RegexPattern
33,[Tue Jan 18 12:18:30.415932 2022],[authz_core:error] [pid 28490] [client 172.17.130.196:55334] AH01630: client denied by server configuration: /var/www/intranet.price.fox.org/.hta,[Tue Jan 18 12:18:30.415932 2022] [authz_core:error] [pid 28490] [client 172.17.130.196:55334] AH01630: client denied by server configuration: /var/www/intranet.price.fox.org/.hta,3b8d0a64,[authz_core:error] [pid <*>] [client <*>] AH01630: client denied by server configuration: <*>,\[authz_core:error\] \[pid (.*?)\] \[client (.*?)\] AH01630: client denied by server configuration: (.*?)$
34,[Tue Jan 18 12:18:30.418330 2022],[authz_core:error] [pid 28490] [client 172.17.130.196:55334] AH01630: client denied by server configuration: /var/www/intranet.price.fox.org/.hta_,[Tue Jan 18 12:18:30.418330 2022] [authz_core:error] [pid 28490] [client 172.17.130.196:55334] AH01630: client denied by server configuration: /var/www/intranet.price.fox.org/.hta_,3b8d0a64,[authz_core:error] [pid <*>] [client <*>] AH01630: client denied by server configuration: <*>,\[authz_core:error\] \[pid (.*?)\] \[client (.*?)\] AH01630: client denied by server configuration: (.*?)$
35,[Tue Jan 18 12:18:30.420679 2022],[authz_core:error] [pid 28490] [client 172.17.130.196:55334] AH01630: client denied by server configuration: /var/www/intranet.price.fox.org/.htaccess,[Tue Jan 18 12:18:30.420679 2022] [authz_core:error] [pid 28490] [client 172.17.130.196:55334] AH01630: client denied by server configuration: /var/www/intranet.price.fox.org/.htaccess,3b8d0a64,[authz_core:error] [pid <*>] [client <*>] AH01630: client denied by server configuration: <*>,\[authz_core:error\] \[pid (.*?)\] \[client (.*?)\] AH01630: client denied by server configuration: (.*?)$
36,[Tue Jan 18 12:18:30.423135 2022],[authz_core:error] [pid 28490] [client 172.17.130.196:55334] AH01630: client denied by server configuration: /var/www/intranet.price.fox.org/.htaccess_,[Tue Jan 18 12:18:30.423135 2022] [authz_core:error] [pid 28490] [client 172.17.130.196:55334] AH01630: client denied by server configuration: /var/www/intranet.price.fox.org/.htaccess_,3b8d0a64,[authz_core:error] [pid <*>] [client <*>] AH01630: client denied by server configuration: <*>,\[authz_core:error\] \[pid (.*?)\] \[client (.*?)\] AH01630: client denied by server configuration: (.*?)$
37,[Tue Jan 18 12:18:30.425785 2022],[authz_core:error] [pid 28490] [client 172.17.130.196:55334] AH01630: client denied by server configuration: /var/www/intranet.price.fox.org/.htpasswd,[Tue Jan 18 12:18:30.425785 2022] [authz_core:error] [pid 28490] [client 172.17.130.196:55334] AH01630: client denied by server configuration: /var/www/intranet.price.fox.org/.htpasswd,3b8d0a64,[authz_core:error] [pid <*>] [client <*>] AH01630: client denied by server configuration: <*>,\[authz_core:error\] \[pid (.*?)\] \[client (.*?)\] AH01630: client denied by server configuration: (.*?)$
38,[Tue Jan 18 12:18:30.428305 2022],[authz_core:error] [pid 28490] [client 172.17.130.196:55334] AH01630: client denied by server configuration: /var/www/intranet.price.fox.org/.htpasswd_,[Tue Jan 18 12:18:30.428305 2022] [authz_core:error] [pid 28490] [client 172.17.130.196:55334] AH01630: client denied by server configuration: /var/www/intranet.price.fox.org/.htpasswd_,3b8d0a64,[authz_core:error] [pid <*>] [client <*>] AH01630: client denied by server configuration: <*>,\[authz_core:error\] \[pid (.*?)\] \[client (.*?)\] AH01630: client denied by server configuration: (.*?)$
43,[Tue Jan 18 12:18:39.850565 2022],[authz_core:error] [pid 28409] [client 172.17.130.196:55402] AH01630: client denied by server configuration: /var/www/intranet.price.fox.org/server-status,[Tue Jan 18 12:18:39.850565 2022] [authz_core:error] [pid 28409] [client 172.17.130.196:55402] AH01630: client denied by server configuration: /var/www/intranet.price.fox.org/server-status,3b8d0a64,[authz_core:error] [pid <*>] [client <*>] AH01630: client denied by server configuration: <*>,\[authz_core:error\] \[pid (.*?)\] \[client (.*?)\] AH01630: client denied by server configuration: (.*?)$
57,[Tue Jan 18 12:18:42.748848 2022],[authz_core:error] [pid 28409] [client 172.17.130.196:55422] AH01630: client denied by server configuration: /usr/share/javascript/.hta,[Tue Jan 18 12:18:42.748848 2022] [authz_core:error] [pid 28409] [client 172.17.130.196:55422] AH01630: client denied by server configuration: /usr/share/javascript/.hta,3b8d0a64,[authz_core:error] [pid <*>] [client <*>] AH01630: client denied by server configuration: <*>,\[authz_core:error\] \[pid (.*?)\] \[client (.*?)\] AH01630: client denied by server configuration: (.*?)$
58,[Tue Jan 18 12:18:42.751073 2022],[authz_core:error] [pid 28409] [client 172.17.130.196:55422] AH01630: client denied by server configuration: /usr/share/javascript/.hta_,[Tue Jan 18 12:18:42.751073 2022] [authz_core:error] [pid 28409] [client 172.17.130.196:55422] AH01630: client denied by server configuration: /usr/share/javascript/.hta_,3b8d0a64,[authz_core:error] [pid <*>] [client <*>] AH01630: client denied by server configuration: <*>,\[authz_core:error\] \[pid (.*?)\] \[client (.*?)\] AH01630: client denied by server configuration: (.*?)$
59,[Tue Jan 18 12:18:42.753267 2022],[authz_core:error] [pid 28409] [client 172.17.130.196:55422] AH01630: client denied by server configuration: /usr/share/javascript/.htaccess,[Tue Jan 18 12:18:42.753267 2022] [authz_core:error] [pid 28409] [client 172.17.130.196:55422] AH01630: client denied by server configuration: /usr/share/javascript/.htaccess,3b8d0a64,[authz_core:error] [pid <*>] [client <*>] AH01630: client denied by server configuration: <*>,\[authz_core:error\] \[pid (.*?)\] \[client (.*?)\] AH01630: client denied by server configuration: (.*?)$
