host,program,pid,event_type,event_action,user,src_ip,src_port,object_name,status_code,outcome,referer,user_agent,http_version,bytes_sent,severity,error_code
intranet.price.fox.org,authz_core,28490,access_denied,denied,,172.17.130.196,55334,/var/www/intranet.price.fox.org/.hta,,failure,,,,,error,AH01630
intranet.price.fox.org,authz_core,28490,access_denied,denied,,172.17.130.196,55334,/var/www/intranet.price.fox.org/.hta_,,failure,,,,,error,AH01630
intranet.price.fox.org,authz_core,28490,access_denied,denied,,172.17.130.196,55334,/var/www/intranet.price.fox.org/.htaccess,,failure,,,,,error,AH01630
intranet.price.fox.org,authz_core,28490,access_denied,denied,,172.17.130.196,55334,/var/www/intranet.price.fox.org/.htaccess_,,failure,,,,,error,AH01630
intranet.price.fox.org,authz_core,28490,access_denied,denied,,172.17.130.196,55334,/var/www/intranet.price.fox.org/.htpasswd,,failure,,,,,error,AH01630
intranet.price.fox.org,authz_core,28490,access_denied,denied,,172.17.130.196,55334,/var/www/intranet.price.fox.org/.htpasswd_,,failure,,,,,error,AH01630
intranet.price.fox.org,authz_core,28409,access_denied,denied,,172.17.130.196,55402,/var/www/intranet.price.fox.org/server-status,,failure,,,,,error,AH01630
apache-error,authz_core,28409,access_denied,denied,,172.17.130.196,55422,/usr/share/javascript/.hta,,failure,,,,,error,AH01630
apache-error,authz_core,28409,access_denied,denied,,172.17.130.196,55422,/usr/share/javascript/.hta_,,failure,,,,,error,AH01630
apache-error,authz_core,28409,access_denied,denied,,172.17.130.196,55422,/usr/share/javascript/.htaccess,,failure,,,,,error,AH01630
apache-error,authz_core,28409,access_denied,denied,,172.17.130.196,55422,/usr/share/javascript/.htaccess_,,failure,,,,,error,AH01630
apache-error,authz_core,28409,access_denied,denied,,172.17.130.196,55422,/usr/share/javascript/.htpasswd,,failure,,,,,error,AH01630
apache-error,authz_core,28409,access_denied,denied,,172.17.130.196,55422,/usr/share/javascript/.htpasswd_,,failure,,,,,error,AH01630
intranet.price.fox.org,authz_core,28492,access_denied,denied,,172.17.130.196,55510,/var/www/intranet.price.fox.org/wp-admin/.hta,,failure,,,,,error,AH01630
intranet.price.fox.org,authz_core,28492,access_denied,denied,,172.17.130.196,55510,/var/www/intranet.price.fox.org/wp-admin/.hta_,,failure,,,,,error,AH01630
intranet.price.fox.org,authz_core,28492,access_denied,denied,,172.17.130.196,55510,/var/www/intranet.price.fox.org/wp-admin/.htaccess,,failure,,,,,error,AH01630
intranet.price.fox.org,authz_core,28492,access_denied,denied,,172.17.130.196,55510,/var/www/intranet.price.fox.org/wp-admin/.htaccess_,,failure,,,,,error,AH01630
intranet.price.fox.org,authz_core,28492,access_denied,denied,,172.17.130.196,55510,/var/www/intranet.price.fox.org/wp-admin/.htpasswd,,failure,,,,,error,AH01630
intranet.price.fox.org,authz_core,28492,access_denied,denied,,172.17.130.196,55510,/var/www/intranet.price.fox.org/wp-admin/.htpasswd_,,failure,,,,,error,AH01630
intranet.price.fox.org,authz_core,28567,access_denied,denied,,172.17.130.196,55598,/var/www/intranet.price.fox.org/wp-content/.hta,,failure,,,,,error,AH01630
intranet.price.fox.org,authz_core,28567,access_denied,denied,,172.17.130.196,55598,/var/www/intranet.price.fox.org/wp-content/.hta_,,failure,,,,,error,AH01630
intranet.price.fox.org,authz_core,28567,access_denied,denied,,172.17.130.196,55598,/var/www/intranet.price.fox.org/wp-content/.htaccess,,failure,,,,,error,AH01630
intranet.price.fox.org,authz_core,28567,access_denied,denied,,172.17.130.196,55598,/var/www/intranet.price.fox.org/wp-content/.htaccess_,,failure,,,,,error,AH01630
intranet.price.fox.org,authz_core,28567,access_denied,denied,,172.17.130.196,55598,/var/www/intranet.price.fox.org/wp-content/.htpasswd,,failure,,,,,error,AH01630
intranet.price.fox.org,authz_core,28567,access_denied,denied,,172.17.130.196,55598,/var/www/intranet.price.fox.org/wp-content/.htpasswd_,,failure,,,,,error,AH01630
intranet.price.fox.org,authz_core,28408,access_denied,denied,,172.17.130.196,55686,/var/www/intranet.price.fox.org/wp-includes/.hta,,failure,,,,,error,AH01630
intranet.price.fox.org,authz_core,28408,access_denied,denied,,172.17.130.196,55686,/var/www/intranet.price.fox.org/wp-includes/.hta_,,failure,,,,,error,AH01630
intranet.price.fox.org,authz_core,28408,access_denied,denied,,172.17.130.196,55686,/var/www/intranet.price.fox.org/wp-includes/.htaccess,,failure,,,,,error,AH01630
intranet.price.fox.org,authz_core,28408,access_denied,denied,,172.17.130.196,55686,/var/www/intranet.price.fox.org/wp-includes/.htaccess_,,failure,,,,,error,AH01630
intranet.price.fox.org,authz_core,28408,access_denied,denied,,172.17.130.196,55686,/var/www/intranet.price.fox.org/wp-includes/.htpasswd,,failure,,,,,error,AH01630
intranet.price.fox.org,authz_core,28408,access_denied,denied,,172.17.130.196,55686,/var/www/intranet.price.fox.org/wp-includes/.htpasswd_,,failure,,,,,error,AH01630
apache-error,authz_core,28575,access_denied,denied,,172.17.130.196,55776,/usr/share/javascript/jquery/.hta,,failure,,,,,error,AH01630
apache-error,authz_core,28575,access_denied,denied,,172.17.130.196,55776,/usr/share/javascript/jquery/.hta_,,failure,,,,,error,AH01630
apache-error,authz_core,28575,access_denied,denied,,172.17.130.196,55776,/usr/share/javascript/jquery/.htaccess,,failure,,,,,error,AH01630
apache-error,authz_core,28575,access_denied,denied,,172.17.130.196,55776,/usr/share/javascript/jquery/.htaccess_,,failure,,,,,error,AH01630
apache-error,authz_core,28575,access_denied,denied,,172.17.130.196,55776,/usr/share/javascript/jquery/.htpasswd,,failure,,,,,error,AH01630
apache-error,authz_core,28575,access_denied,denied,,172.17.130.196,55776,/usr/share/javascript/jquery/.htpasswd_,,failure,,,,,error,AH01630
intranet.price.fox.org,authz_core,28239,access_denied,denied,,172.17.130.196,55864,/var/www/intranet.price.fox.org/wp-admin/css/.hta,,failure,,,,,error,AH01630
intranet.price.fox.org,authz_core,28239,access_denied,denied,,172.17.130.196,55864,/var/www/intranet.price.fox.org/wp-admin/css/.hta_,,failure,,,,,error,AH01630
intranet.price.fox.org,authz_core,28239,access_denied,denied,,172.17.130.196,55864,/var/www/intranet.price.fox.org/wp-admin/css/.htaccess,,failure,,,,,error,AH01630
intranet.price.fox.org,authz_core,28239,access_denied,denied,,172.17.130.196,55864,/var/www/intranet.price.fox.org/wp-admin/css/.htaccess_,,failure,,,,,error,AH01630
intranet.price.fox.org,authz_core,28239,access_denied,denied,,172.17.130.196,55864,/var/www/intranet.price.fox.org/wp-admin/css/.htpasswd,,failure,,,,,error,AH01630
intranet.price.fox.org,authz_core,28239,access_denied,denied,,172.17.130.196,55864,/var/www/intranet.price.fox.org/wp-admin/css/.htpasswd_,,failure,,,,,error,AH01630
intranet.price.fox.org,authz_core,28576,access_denied,denied,,172.17.130.196,55952,/var/www/intranet.price.fox.org/wp-admin/images/.hta,,failure,,,,,error,AH01630
intranet.price.fox.org,authz_core,28576,access_denied,denied,,172.17.130.196,55952,/var/www/intranet.price.fox.org/wp-admin/images/.hta_,,failure,,,,,error,AH01630
intranet.price.fox.org,authz_core,28576,access_denied,denied,,172.17.130.196,55952,/var/www/intranet.price.fox.org/wp-admin/images/.htaccess,,failure,,,,,error,AH01630
intranet.price.fox.org,authz_core,28576,access_denied,denied,,172.17.130.196,55952,/var/www/intranet.price.fox.org/wp-admin/images/.htaccess_,,failure,,,,,error,AH01630
intranet.price.fox.org,authz_core,28576,access_denied,denied,,172.17.130.196,55952,/var/www/intranet.price.fox.org/wp-admin/images/.htpasswd,,failure,,,,,error,AH01630
intranet.price.fox.org,authz_core,28576,access_denied,denied,,172.17.130.196,55952,/var/www/intranet.price.fox.org/wp-admin/images/.htpasswd_,,failure,,,,,error,AH01630
intranet.price.fox.org,authz_core,28574,access_denied,denied,,172.17.130.196,56040,/var/www/intranet.price.fox.org/wp-admin/includes/.hta,,failure,,,,,error,AH01630
intranet.price.fox.org,authz_core,28574,access_denied,denied,,172.17.130.196,56040,/var/www/intranet.price.fox.org/wp-admin/includes/.hta_,,failure,,,,,error,AH01630
intranet.price.fox.org,authz_core,28574,access_denied,denied,,172.17.130.196,56040,/var/www/intranet.price.fox.org/wp-admin/includes/.htaccess,,failure,,,,,error,AH01630
intranet.price.fox.org,authz_core,28574,access_denied,denied,,172.17.130.196,56040,/var/www/intranet.price.fox.org/wp-admin/includes/.htaccess_,,failure,,,,,error,AH01630
intranet.price.fox.org,authz_core,28574,access_denied,denied,,172.17.130.196,56040,/var/www/intranet.price.fox.org/wp-admin/includes/.htpasswd,,failure,,,,,error,AH01630
intranet.price.fox.org,authz_core,28574,access_denied,denied,,172.17.130.196,56040,/var/www/intranet.price.fox.org/wp-admin/includes/.htpasswd_,,failure,,,,,error,AH01630
intranet.price.fox.org,authz_core,28492,access_denied,denied,,172.17.130.196,56130,/var/www/intranet.price.fox.org/wp-admin/js/.hta,,failure,,,,,error,AH01630
intranet.price.fox.org,authz_core,28492,access_denied,denied,,172.17.130.196,56130,/var/www/intranet.price.fox.org/wp-admin/js/.hta_,,failure,,,,,error,AH01630
intranet.price.fox.org,authz_core,28492,access_denied,denied,,172.17.130.196,56130,/var/www/intranet.price.fox.org/wp-admin/js/.htaccess,,failure,,,,,error,AH01630
intranet.price.fox.org,authz_core,28492,access_denied,denied,,172.17.130.196,56130,/var/www/intranet.price.fox.org/wp-admin/js/.htaccess_,,failure,,,,,error,AH01630
intranet.price.fox.org,authz_core,28492,access_denied,denied,,172.17.130.196,56130,/var/www/intranet.price.fox.org/wp-admin/js/.htpasswd,,failure,,,,,error,AH01630
intranet.price.fox.org,authz_core,28492,access_denied,denied,,172.17.130.196,56130,/var/www/intranet.price.fox.org/wp-admin/js/.htpasswd_,,failure,,,,,error,AH01630
intranet.price.fox.org,authz_core,28567,access_denied,denied,,172.17.130.196,56218,/var/www/intranet.price.fox.org/wp-admin/maint/.hta,,failure,,,,,error,AH01630
intranet.price.fox.org,authz_core,28567,access_denied,denied,,172.17.130.196,56218,/var/www/intranet.price.fox.org/wp-admin/maint/.hta_,,failure,,,,,error,AH01630
intranet.price.fox.org,authz_core,28567,access_denied,denied,,172.17.130.196,56218,/var/www/intranet.price.fox.org/wp-admin/maint/.htaccess,,failure,,,,,error,AH01630
intranet.price.fox.org,authz_core,28567,access_denied,denied,,172.17.130.196,56218,/var/www/intranet.price.fox.org/wp-admin/maint/.htaccess_,,failure,,,,,error,AH01630
intranet.price.fox.org,authz_core,28567,access_denied,denied,,172.17.130.196,56218,/var/www/intranet.price.fox.org/wp-admin/maint/.htpasswd,,failure,,,,,error,AH01630
intranet.price.fox.org,authz_core,28567,access_denied,denied,,172.17.130.196,56218,/var/www/intranet.price.fox.org/wp-admin/maint/.htpasswd_,,failure,,,,,error,AH01630
intranet.price.fox.org,authz_core,28408,access_denied,denied,,172.17.130.196,56306,/var/www/intranet.price.fox.org/wp-admin/network/.hta,,failure,,,,,error,AH01630
intranet.price.fox.org,authz_core,28408,access_denied,denied,,172.17.130.196,56306,/var/www/intranet.price.fox.org/wp-admin/network/.hta_,,failure,,,,,error,AH01630
intranet.price.fox.org,authz_core,28408,access_denied,denied,,172.17.130.196,56306,/var/www/intranet.price.fox.org/wp-admin/network/.htaccess,,failure,,,,,error,AH01630
intranet.price.fox.org,authz_core,28408,access_denied,denied,,172.17.130.196,56306,/var/www/intranet.price.fox.org/wp-admin/network/.htaccess_,,failure,,,,,error,AH01630
intranet.price.fox.org,authz_core,28408,access_denied,denied,,172.17.130.196,56306,/var/www/intranet.price.fox.org/wp-admin/network/.htpasswd,,failure,,,,,error,AH01630
intranet.price.fox.org,authz_core,28408,access_denied,denied,,172.17.130.196,56306,/var/www/intranet.price.fox.org/wp-admin/network/.htpasswd_,,failure,,,,,error,AH01630
intranet.price.fox.org,authz_core,28490,access_denied,denied,,172.17.130.196,56394,/var/www/intranet.price.fox.org/wp-admin/user/.hta,,failure,,,,,error,AH01630
intranet.price.fox.org,authz_core,28490,access_denied,denied,,172.17.130.196,56394,/var/www/intranet.price.fox.org/wp-admin/user/.hta_,,failure,,,,,error,AH01630
intranet.price.fox.org,authz_core,28575,access_denied,denied,,172.17.130.196,56396,/var/www/intranet.price.fox.org/wp-admin/user/.htaccess,,failure,,,,,error,AH01630
intranet.price.fox.org,authz_core,28575,access_denied,denied,,172.17.130.196,56396,/var/www/intranet.price.fox.org/wp-admin/user/.htaccess_,,failure,,,,,error,AH01630
intranet.price.fox.org,authz_core,28575,access_denied,denied,,172.17.130.196,56396,/var/www/intranet.price.fox.org/wp-admin/user/.htpasswd,,failure,,,,,error,AH01630
intranet.price.fox.org,authz_core,28575,access_denied,denied,,172.17.130.196,56396,/var/www/intranet.price.fox.org/wp-admin/user/.htpasswd_,,failure,,,,,error,AH01630
intranet.price.fox.org,authz_core,28239,access_denied,denied,,172.17.130.196,56484,/var/www/intranet.price.fox.org/wp-content/plugins/.hta,,failure,,,,,error,AH01630
intranet.price.fox.org,authz_core,28239,access_denied,denied,,172.17.130.196,56484,/var/www/intranet.price.fox.org/wp-content/plugins/.hta_,,failure,,,,,error,AH01630
intranet.price.fox.org,authz_core,28239,access_denied,denied,,172.17.130.196,56484,/var/www/intranet.price.fox.org/wp-content/plugins/.htaccess,,failure,,,,,error,AH01630
intranet.price.fox.org,authz_core,28239,access_denied,denied,,172.17.130.196,56484,/var/www/intranet.price.fox.org/wp-content/plugins/.htaccess_,,failure,,,,,error,AH01630
intranet.price.fox.org,authz_core,28239,access_denied,denied,,172.17.130.196,56484,/var/www/intranet.price.fox.org/wp-content/plugins/.htpasswd,,failure,,,,,error,AH01630
